tidak_baku,baku,
sorry,maaf,
yg,yang,
disini,di sini,
emang,memang,
udah,sudah,
jadinya,menjadi,
ngubah,mengubah,
ngelunjak,melampaui batas,
kaya,seperti,
gak,tidak,
bakal,akan,
komen,komentar,
indo,indonesia,
dr,dari,
dgn,dengan,
kalo,kalau,
krn,karena,
sg,singapura,
sdgkn,sedangkan,
trade,perdagangan,
nguntungin,menguntungkan,
tdk,tidak,
bener-bener,benar,
negoisasi,negosiasi,
brillian,brilian,
menaikan,menaikkan,
bikin,membuat,
tapi,tetapi,
kebijikan,kebijakan,
key points,poin penting,
pd,pada,
dg,dengan,
o/,oleh,
nego,negosiasi,
ri,republik indonesia,
tetep,tetap,
keukeuh,kukuh,
bilang,mengatakan,
jd,jadi,
gk,tidak,
pny,punya,
bs,bisa,
dibanding,dibandingkan,
misal,misalnya,
ngaruh,berpengaruh,
buat,untuk,
klo,kalau,
kek,seperti,
apa2,apa,
djual,dijual,
ksana,ke sana,
kesini,ke sini ,
tadinya,sebelumnya,
ina,indonesia,
dinego,dinegosiasikan,
tsb,tersebut,
dlm,dalam,
hrs,harus,
nggak,tidak,
dikasih,diberi,
ngobrol,berdialog,
temenan,berteman,
harusnya,seharusnya,
utus,mengutus,
bagi-bagi,membagikan,
update,informasi terkini,
omon2,omong,
doang,saja,
saar seer saar seer,penurut,
ngoyo,berusaha keras,
ngemis2,mengemis,
mau2nya,mau,
aja,saja,
branded,bermerek,
reject,rijek,
factory outlet,gerai pabrik,
sat-set,sigap,
jwbnya,jawabannya,
vs,versus,
ribut,berkonflik,
ujung-ujungnya,pada akhirnya,
omon omon,omong,
naikin,menaikkan,
smapai,sampai,
trilyunan,triliunan,
di ekspor,triliunan,
soal,mengenai,
jabar,jawa barat,
coba,sebaiknya,
kale,barangkali,
ttg,tentang,
tp,tetapi,
b,miliar,
pr,tugas,
gimana,bagaimana,
ampe,sampai,
jg,juga,
dollar,dolar,
kayak,seperti,
amrik,amerika serikat,
gede,besar,
soalnya,karena,
kmrn,kemarin,
di pajak,dipajak,
sm,sama,
ga,tidak,
tau,tahu,
drmn,dari mana,
di hajar,dihajar,
ama,sama,
reform,reformasi,
made in,buatan,
malah,justru,
lu,lo,
legowo,legawa,
bool,bokong,
amat,sangat,
manut,patuh,
udh,sudah,
trus,terus,
segitu,sebanyak itu,
konkrit,konkret,
wapres,wakil presiden,
didunia,di dunia,
eksport,ekspor,
lobby,lobi,
nih,ini,
syarat2,syarat,
masi,masih,
gosah,tidak usah,
dikehidupan,di kehidupan,
yah,ya,
gini,begini,
ikut2an,ikut,
berapapun,berapa pun,
kebli,kebeli,
tuh,itu,
market,pasar,
doyan,suka,
mikir,berpikir,
disana,di sana,
buyer,pembeli,
duit,uang,
kmren,kemarin,
benernya,benarnya,
biar,supaya,
cepet,cepat,
nyampe,sampai,
cruise line,kapal pesiar,
anjok,anjlok,
hutang,utang,
gampangnya,mudahnya,
duitmu,uangmu,
